Experiment,Date,Clutch,Tray,Age_groups_three,Age_groups_four,Age_days,SUhour,SUmin,SUsec,Stimulus_h,Stimulus_m,Stimulus_s,Treatment,Round,Jiggler,Response,Individual,Hatch_h,Hatch_m,Hatch_s,EpreSU,EpostSU,TestEggs,PBKhour,PBKmin,PBKsec,FirstHhour,FirstHmin,FirstHsec,SecondHhour,SecondHmin,SecondHsec,ThirdHhour,ThirdHmin,ThirdHsec,FourthHhour,FourthHmin,FourthHsec,FifthHhour,FifthHmin,FifthHsec,SixthHhour,SixthHmin,SixthHsec,SeventhHhour,SeventhHmin,SeventhHsec,EighthHhour,EighthHmin,EighthHsec,NinethHhour,NinethHmin,NinethHsec,TenthHhour,TenthHmin,TenthHsec,EleventhHhour,EleventhHmin,EleventhHsec,TwelvethHhour,TwelvethHmin,TwelvethHsec,ThirteenthHhour,ThirteenthHmin,ThirteenthHsec,FourteenthHhour,FourteenthHmin,FourteenthHsec,FifteenthHhour,FifteenthHmin,FifteenthHsec,EPPBK,EP3m,Stage1,Stage2,Stage3,Playback_stage,CW_start,CW_end,CCW_start,CCW_end,LL1start,LL1end,LL2start,LL2end,Sample_name,Amplitude_right,R2_right ,Amplitude_left,R2_left,Jiggling_stage,VOR_Too_High,Combined_stage
Individual,20190702,101,NA,young,4d_lowVOR,4,NA,NA,NA,3,36,40,G,13,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Individual,20190702,99,NA,young,4d_lowVOR,4,NA,NA,NA,4,19,40,G,14,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Individual,20190702,99,NA,young,4d_lowVOR,4,NA,NA,NA,4,28,0,G,15,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Individual,20190702,101,NA,young,4d_lowVOR,4,NA,NA,NA,5,50,30,G,23,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Individual,20190702,99,NA,young,4d_lowVOR,4,NA,NA,NA,6,3,10,G,25,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Individual,20190702,99,NA,young,4d_lowVOR,4,NA,NA,NA,7,10,45,G,35,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Individual,20190702,99,NA,young,4d_lowVOR,4,NA,NA,NA,7,56,35,G,39,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Individual,20190702,99,NA,young,4d_lowVOR,4,NA,NA,NA,8,2,50,G,40,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Individual,20190702,99,NA,young,4d_lowVOR,4,NA,NA,NA,8,9,20,G,41,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Individual,20190702,99,NA,young,4d_lowVOR,4,NA,NA,NA,8,31,55,G,44,Jenni,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
