Order,Date,Stimulus,Clutch,Age Block (hours),Age (days),Time Block (hours),Individual,Response,Latency to Hatch (minutes from start of stimulation),Tadpole Length,Developmental Stage,Mean Length,Mean Stage
1,20150811,Hypoxia,254,81,3,9,1,Hatched,16.80,8.3,2,8.6955,2
2,20150811,Hypoxia,254,81,3,9,2,Not Hatched,NA,9.091,2,,
3,20150811,Hypoxia,254,84,3,12,3,Hatched,25.20,8.891,2,8.8275,2.5
4,20150811,Hypoxia,254,84,3,12,4,Hatched,16.20,8.764,3,,
5,20150811,Hypoxia,254,87,3,15,5,Hatched,20.40,9.93,3,9.6425,3
6,20150811,Hypoxia,254,87,3,15,6,Hatched,27.00,9.355,3,,
7,20150811,Mechanosensory,254,90,3,18,1,Hatched,0.60,9.397,3,9.3935,3
8,20150811,Mechanosensory,254,90,3,18,2,Not Hatched,NA,9.39,3,,
9,20150811,Mechanosensory,254,93,3,21,3,Hatched,4.80,9.638,4,9.6525,4.5
10,20150811,Mechanosensory,254,93,3,21,4,Not Hatched,NA,9.667,5,,
11,20150812,Mechanosensory,254,96,4,0,5,Hatched,3.00,10.401,5,10.294,5
12,20150812,Mechanosensory,254,96,4,0,6,Hatched,4.20,10.187,5,,
13,20150812,Mechanosensory,254,99,4,3,7,Hatched,1.00,10.93,6,10.7355,6
14,20150812,Mechanosensory,254,99,4,3,8,Hatched,2.00,10.541,6,,
15,20150811,Hypoxia,255,81,3,9,1,Not Hatched,NA,8.337,2,8.2285,2
16,20150811,Hypoxia,255,81,3,9,2,Not Hatched,NA,8.12,2,,
17,20150811,Hypoxia,255,84,3,12,3,Not Hatched,NA,8.715,2,8.5905,2
18,20150811,Hypoxia,255,84,3,12,4,Hatched,13.20,8.466,2,,
19,20150811,Hypoxia,255,87,3,15,5,Not Hatched,NA,8.321,2,8.6165,2
20,20150811,Hypoxia,255,87,3,15,6,Hatched,30.00,8.912,2,,
21,20150811,Hypoxia,255,90,3,18,7,Hatched,19.20,9.232,NA,9.098,3
22,20150811,Hypoxia,255,90,3,18,8,Hatched,13.20,8.964,NA,,
23,20150811,Mechanosensory,255,90,3,18,1,Not Hatched,NA,8.37,3,8.841,3
24,20150811,Mechanosensory,255,90,3,18,2,Not Hatched,NA,9.312,3,,
25,20150811,Hypoxia,255,93,3,21,9,Hatched,15.00,8.892,4,9.0645,4
26,20150811,Hypoxia,255,93,3,21,10,Hatched,18.00,9.237,4,,
27,20150811,Mechanosensory,255,93,3,21,3,Hatched,1.20,9.055,4,9.1725,4
28,20150811,Mechanosensory,255,93,3,21,4,Hatched,4.20,9.29,4,,
29,20150812,Mechanosensory,255,96,4,0,5,Hatched,3.00,9.493,4,9.5665,4
